uid,ks,ml,ps,na
A0001,4,1,,9
A0005,21,3,2,9
A0008,5,6,,11
A0009,10,,2,11
A0010,6,,1,2
A0011,13,,4,28
A0015,1,,,
A0018,,1,3,1
A0019,10,,3,3
A0020,2,,3,15
A0021,8,1,2,4
A0022,7,,2,1
A0024,2,6,,6
A0025,4,2,1,11
A0026,,1,1,5
A0029,1,6,6,1
A0030,,,1,
A0033,2,2,,
A0034,2,,,1
A0037,2,1,,
A0039,2,,12,21
A0040,3,1,,
A0041,9,,1,9
A0042,4,,1,3
A0043,1,,,
A0044,3,1,1,
A0046,9,11,2,8
A0047,2,,3,2
A0048,2,,4,2
A0049,7,,4,
A0050,7,,,9
A0052,6,9,,3
A0054,2,1,1,
A0056,8,1,,3
A0057,2,,,
A0059,1,,,
A0061,5,5,3,6
A0064,1,,5,3
A0065,,1,,
A0066,2,3,2,2
A0067,3,5,2,5
A0069,,,1,3
A0071,,,1,6
A0073,6,2,2,1
A0074,57,,,2
A0075,1,,2,
A0077,1,3,,1
A0080,7,,1,14
A0081,3,1,4,
A0082,2,,1,
A0084,5,3,,5
A0087,1,,,
A0088,,7,,2
B0005,1,,,3
B0007,8,10,4,4
B0009,1,,1,
B0012,3,,2,
B0013,,1,,1
B0018,6,1,,2
B0020,1,1,,7
B0025,1,3,,1
B0026,2,,5,7
B0027,3,1,,
